miRNA,Tau_TCGA,TCGA_tissues,Tau_GTEx,GTEx_tissues,Delta_Tau,DE_n_projects_up,DE_n_projects_down,DE_median_log2fc,DE_median_padj,binom_p_up,binom_p_down,Binomial_result,CPM_GTEx_mean,CPM_GTEx_max,CPM_TCGA_mean,CPM_TCGA_max,TCGA_GTEx_log2FC,MW_statistic_TCGA_GTEx,TCGA_GTEx_p_value,TCGA_GTEx_padj,TCGA_GTEx_Direction,Specificity_class,Dysregulated_class
hsa-mir-518a-3p,0.791,"Testis [0.17], Thymus [0.15], Thorax [0.15]",0.946,"Testis [0.43], Omentum [0.11], Lung [0.10]",-0.156,2,0,4.231,7.36e-04,2.50e-01,1.00e+00,NS,1.419,30.537,20.334,201.545,1.44,137.0,4.11e-04,7.97e-04,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-519d-3p,0.78,"Thymus [0.16], Thorax [0.16], Testis [0.15]",0.947,"Testis [0.43], Omentum [0.13], Breast [0.09]",-0.167,2,0,4.893,2.12e-05,2.50e-01,1.00e+00,NS,1.134,23.817,28.851,240.978,1.614,114.0,7.30e-05,1.62e-04,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-518e-3p,0.778,"Testis [0.16], Thymus [0.15], Thorax [0.15]",0.949,"Testis [0.44], Omentum [0.12], Lung [0.10]",-0.171,2,0,5.026,1.46e-04,2.50e-01,1.00e+00,NS,1.073,22.479,22.762,203.386,1.587,102.0,2.76e-05,6.75e-05,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-372-3p,0.776,"Testis [0.16], Esophagus [0.10], Thorax [0.08]",0.942,"Testis [0.41], Heart [0.21], Brain [0.16]",-0.166,7,4,3.138,2.36e-04,2.74e-01,8.87e-01,NS,24.717,600.333,1119.004,26550.353,2.937,74.0,2.32e-06,7.42e-06,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-1323,0.768,"Testis [0.15], Thymus [0.14], Thorax [0.14]",0.9,"Testis [0.29], Omentum [0.12], Breast [0.09]",-0.132,2,1,2.912,1.16e-05,5.00e-01,8.75e-01,NS,4.461,94.358,21.993,197.258,1.159,210.0,3.10e-02,4.30e-02,NS,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-1251-5p,0.762,"Thyroid [0.15], Testis [0.09], Fallopian tube [0.07]",0.862,"Thyroid [0.23], Brain [0.20], Kidney [0.17]",-0.1,4,6,-1.743,1.21e-11,8.28e-01,3.77e-01,NS,2.943,32.487,17.418,317.106,1.349,128.0,2.13e-04,4.31e-04,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-219a-5p,0.753,"Brain [0.14], Bone Marrow [0.07], Lymph nodes [0.06]",0.762,"Brain [0.14], Mucosa [0.05], Liver [0.05]",-0.009,4,2,0.994,1.18e-06,3.44e-01,8.91e-01,NS,2.52,31.478,9.055,148.569,0.709,162.0,2.20e-03,3.66e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-1911-5p,0.753,"Testis [0.14], Brain [0.13], Lung [0.09]",0.874,"Vagina [0.24], Brain [0.19], Testis [0.10]",-0.121,7,0,3.708,1.68e-06,7.81e-03,1.00e+00,UP,1.819,24.006,6.997,67.637,0.992,138.0,4.41e-04,8.48e-04,NS,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-216a-5p,0.752,"Pancreas [0.14], Liver–Gallbladder [0.13], Soft Tissues [0.10]",0.883,"Pancreas [0.25], Soft Tissues [0.08], Kidney [0.07]",-0.131,1,3,-0.868,4.70e-06,9.38e-01,3.12e-01,NS,30.671,759.333,10.341,101.204,0.515,227.0,6.62e-02,8.72e-02,NS,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-449a,0.75,"Uterus [0.14], Fallopian tube [0.13], Ovary [0.12]",0.865,"Testis [0.23], Fallopian Tube [0.19], Lung [0.15]",-0.115,7,0,3.269,1.79e-10,7.81e-03,1.00e+00,UP,39.936,707.662,53.918,655.357,0.992,172.0,4.06e-03,6.45e-03,NS,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-506-3p,0.749,"Skin [0.14], Adrenal Gland [0.13], Testis [0.09]",0.818,"Testis [0.18], Adrenal Gland [0.11], Kidney [0.11]",-0.07,3,4,-2.829,3.85e-10,7.73e-01,5.00e-01,NS,388.517,9484.907,27.906,367.446,-0.485,361.0,5.04e-01,5.47e-01,NS,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-190b-5p,0.744,"Breast [0.14], Uterus [0.09], Fallopian tube [0.08]",0.437,"Testis [0.07], Fallopian Tube [0.07], Lung [0.06]",0.307,4,1,1.058,1.16e-04,1.88e-01,9.69e-01,NS,17.202,61.365,6.416,87.824,-1.678,541.0,4.90e-05,1.14e-04,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-520a-3p,0.737,"Testis [0.14], Thymus [0.13], Thorax [0.13]",0.974,"Testis [0.61], Omentum [0.07], Breast [0.04]",-0.237,3,1,3.492,4.11e-06,3.12e-01,9.38e-01,NS,4.427,111.619,136.916,1240.047,2.63,66.0,1.11e-06,4.03e-06,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-499a-5p,0.737,"Uterus [0.14], Mucosa [0.11], Kidney [0.09]",0.652,"Heart [0.10], Soft Tissues [0.08], Salivary Gland [0.05]",0.085,1,3,-1.246,3.64e-05,9.38e-01,3.12e-01,NS,225.767,4856.431,8.556,113.272,-2.629,572.0,3.41e-06,1.01e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-512-3p,0.732,"Testis [0.13], Thorax [0.11], Thymus [0.11]",0.958,"Testis [0.49], Omentum [0.14], Heart [0.10]",-0.226,7,1,2.682,5.06e-05,3.52e-02,9.96e-01,UP,2.789,65.882,151.125,2220.098,2.889,63.0,8.32e-07,3.16e-06,TCGA_UP,Normal-tissue-specific miR,UPREGULATED
hsa-mir-513c-5p,0.731,"Skin [0.13], Adrenal Gland [0.12], Fallopian tube [0.12]",0.827,"Testis [0.19], Ovary [0.11], Adrenal Gland [0.10]",-0.096,3,4,-1.92,7.99e-06,7.73e-01,5.00e-01,NS,142.566,3428.825,10.922,91.591,-0.515,394.0,1.97e-01,2.36e-01,NS,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-513a-5p,0.731,"Adrenal Gland [0.13], Skin [0.13], Fallopian tube [0.12]",0.864,"Testis [0.23], Adrenal Gland [0.12], Kidney [0.11]",-0.133,2,3,-2.036,5.98e-04,8.12e-01,5.00e-01,NS,91.336,2210.34,4.797,33.124,-0.442,378.0,3.23e-01,3.75e-01,NS,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-9-3p,0.727,"Brain [0.13], Uterus [0.09], Lung [0.07]",0.545,"Brain [0.08], Adrenal Gland [0.04], Kidney [0.04]",0.182,8,1,2.615,2.68e-09,1.95e-02,9.98e-01,UP,1707.987,40931.843,425.77,9708.54,-3.292,578.0,1.96e-06,6.38e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-137-3p,0.722,"Adrenal Gland [0.13], Brain [0.10], Peritoneum [0.09]",0.865,"Brain [0.23], Adrenal Gland [0.13], Colon–Intestine [0.06]",-0.143,8,0,2.437,3.10e-06,3.91e-03,1.00e+00,UP,10.473,225.915,27.727,402.995,1.37,192.0,1.25e-02,1.86e-02,NS,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-516b-5p,0.722,"Thymus [0.13], Thorax [0.13], Testis [0.12]",0.885,"Testis [0.26], Thyroid [0.20], Omentum [0.14]",-0.164,2,1,1.775,1.74e-05,5.00e-01,8.75e-01,NS,5.137,79.855,57.402,502.935,1.859,127.0,1.97e-04,4.00e-04,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-509-3-5p,0.721,"Skin [0.13], Adrenal Gland [0.12], Fallopian tube [0.10]",0.676,"Testis [0.11], Ovary [0.07], Adrenal Gland [0.07]",0.046,1,4,-2.269,4.02e-11,9.69e-01,1.88e-01,NS,3779.007,92644.054,24.818,232.684,-3.4,535.0,7.90e-05,1.74e-04,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-522-3p,0.718,"Thymus [0.13], Thorax [0.13], Testis [0.12]",0.881,"Testis [0.25], Lung [0.18], Thyroid [0.13]",-0.164,5,0,4.526,1.25e-06,3.12e-02,1.00e+00,UP,3.193,50.236,17.794,148.059,1.401,151.0,1.08e-03,1.93e-03,TCGA_UP,Normal-tissue-specific miR,UPREGULATED
hsa-mir-518b,0.716,"Thymus [0.13], Thorax [0.13], Testis [0.13]",0.906,"Testis [0.30], Omentum [0.15], Breast [0.12]",-0.189,3,1,2.46,1.96e-04,3.12e-01,9.38e-01,NS,2.369,43.563,70.69,568.498,2.199,103.0,3.00e-05,7.29e-05,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-517b-3p,0.714,"Thymus [0.13], Thorax [0.12], Testis [0.12]",0.868,"Testis [0.23], Omentum [0.12], Breast [0.10]",-0.155,3,1,2.023,8.08e-04,3.12e-01,9.38e-01,NS,10.818,224.837,70.39,637.753,1.687,152.0,1.15e-03,2.05e-03,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-517a-3p,0.714,"Thymus [0.13], Thorax [0.12], Testis [0.12]",0.868,"Testis [0.23], Omentum [0.12], Breast [0.10]",-0.155,3,1,2.023,8.16e-04,3.12e-01,9.38e-01,NS,10.818,224.837,70.391,637.74,1.687,152.0,1.15e-03,2.05e-03,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-508-5p,0.711,"Skin [0.13], Adrenal Gland [0.11], Ovary [0.11]",0.891,"Testis [0.27], Ovary [0.14], Kidney [0.13]",-0.18,4,4,-0.355,3.62e-05,6.37e-01,6.37e-01,NS,115.807,2847.808,58.512,669.813,1.295,149.0,9.44e-04,1.70e-03,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-539-3p,0.691,"Testis [0.12], Adrenal Gland [0.12], Peritoneum [0.09]",0.693,"Adrenal Gland [0.12], Brain [0.11], Testis [0.06]",-0.002,2,3,-0.112,2.08e-04,8.12e-01,5.00e-01,NS,6.386,55.504,8.659,65.282,0.115,358.0,5.40e-01,5.83e-01,NS,Non-specific miR,NOT_SIGNIFICANT
