miRNA,Tau_TCGA,TCGA_tissues,Tau_GTEx,GTEx_tissues,Delta_Tau,DE_n_projects_up,DE_n_projects_down,DE_median_log2fc,DE_median_padj,binom_p_up,binom_p_down,Binomial_result,CPM_GTEx_mean,CPM_GTEx_max,CPM_TCGA_mean,CPM_TCGA_max,TCGA_GTEx_log2FC,MW_statistic_TCGA_GTEx,TCGA_GTEx_p_value,TCGA_GTEx_padj,TCGA_GTEx_Direction,Specificity_class,Dysregulated_class
hsa-mir-148b-5p,0.58,"Fallopian tube [0.09], Colon [0.06], Ovary [0.05]",0.288,"Whole Blood [0.05], Spleen [0.05], Thyroid [0.05]",0.292,5,0,0.997,1.60e-11,3.12e-02,1.00e+00,UP,18.318,51.246,12.406,123.609,-1.02,549.0,2.54e-05,6.37e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-105-5p,0.579,"Testis [0.09], Skin [0.08], Bladder [0.06]",0.922,"Brain [0.34], Testis [0.28], Soft Tissues [0.05]",-0.343,11,1,5.74,4.08e-13,3.17e-03,1.00e+00,UP,4.411,74.644,251.949,3622.371,4.62,27.0,2.08e-08,1.57e-07,TCGA_UP,Normal-tissue-specific miR,UPREGULATED
hsa-mir-509-3p,0.578,"Skin [0.09], Adrenal Gland [0.08], Ovary [0.07]",0.819,"Testis [0.18], Ovary [0.11], Kidney [0.11]",-0.24,6,4,1.881,4.82e-07,3.77e-01,8.28e-01,NS,128.111,2865.234,480.165,5998.616,3.163,106.0,3.84e-05,9.16e-05,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-34b-3p,0.577,"Lung [0.09], Uterus [0.08], Thymus [0.07]",0.793,"Testis [0.16], Fallopian Tube [0.16], Lung [0.14]",-0.216,4,3,0.903,2.22e-04,5.00e-01,7.73e-01,NS,11.77,113.439,10.384,44.803,1.164,142.0,5.85e-04,1.08e-03,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-412-5p,0.574,"Adrenal Gland [0.09], Peritoneum [0.07], Testis [0.07]",0.701,"Adrenal Gland [0.12], Brain [0.10], Spleen [0.07]",-0.127,4,2,1.171,2.50e-06,3.44e-01,8.91e-01,NS,6.211,62.368,55.062,645.172,2.268,78.0,3.41e-06,1.01e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-135a-5p,0.57,"Thyroid [0.09], Kidney [0.07], Brain [0.07]",0.531,"Thyroid [0.08], Fallopian Tube [0.06], Brain [0.06]",0.039,2,7,-1.664,6.85e-10,9.80e-01,8.98e-02,NS,554.51,8842.34,89.148,1201.325,-1.967,473.0,5.45e-03,8.32e-03,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-215-5p,0.567,"Esophagus [0.09], Stomach [0.09], Pancreas [0.08]",0.781,"Colon–Intestine [0.15], Omentum [0.08], Liver [0.07]",-0.214,6,3,0.557,1.62e-06,2.54e-01,9.10e-01,NS,166.191,4049.212,376.153,3109.98,2.228,155.0,1.40e-03,2.46e-03,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-411-3p,0.563,"Testis [0.09], Peritoneum [0.07], Adrenal Gland [0.07]",0.643,"Adrenal Gland [0.10], Brain [0.09], Testis [0.06]",-0.08,1,4,-1.016,2.14e-04,9.69e-01,1.88e-01,NS,13.244,138.501,8.693,55.075,-0.069,315.0,8.58e-01,8.80e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-99a-3p,0.558,"Fallopian tube [0.09], Brain [0.06], Ovary [0.05]",0.285,"Vagina [0.05], Ovary [0.05], Uterus–Cervix [0.05]",0.273,2,6,-1.008,1.08e-05,9.65e-01,1.45e-01,NS,23.226,53.816,16.223,161.809,-0.825,481.0,3.39e-03,5.47e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-485-5p,0.557,"Pancreas [0.09], Adrenal Gland [0.08], Fallopian tube [0.08]",0.804,"Adrenal Gland [0.17], Brain [0.16], Ovary [0.08]",-0.247,1,4,-1.238,2.47e-04,9.69e-01,1.88e-01,NS,15.491,204.622,6.846,27.708,0.588,209.0,2.95e-02,4.11e-02,NS,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-10a-3p,0.556,"Uterus [0.09], Fallopian tube [0.08], Kidney [0.08]",0.399,"Kidney [0.06], Colon–Intestine [0.06], Omentum [0.06]",0.157,4,2,0.582,1.38e-13,3.44e-01,8.91e-01,NS,32.106,114.809,27.544,141.918,-0.945,417.0,8.47e-02,1.10e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-551b-3p,0.555,"Thyroid [0.09], Testis [0.06], Brain [0.06]",0.671,"Omentum [0.11], Brain [0.10], Breast [0.08]",-0.116,8,3,1.699,8.07e-06,1.13e-01,9.67e-01,NS,3.367,21.819,9.402,63.792,1.174,156.0,1.50e-03,2.60e-03,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-671-3p,0.553,"Fallopian tube [0.09], Ovary [0.07], Breast [0.06]",0.675,"Whole Blood [0.11], Heart [0.08], Adrenal Gland [0.07]",-0.122,3,1,0.701,1.46e-06,3.12e-01,9.38e-01,NS,9.85,111.99,21.401,206.091,1.218,164.0,2.49e-03,4.11e-03,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-935,0.552,"Ovary [0.09], Brain [0.08], Testis [0.06]",0.817,"Brain [0.18], Testis [0.09], Soft Tissues [0.07]",-0.265,8,1,1.236,7.30e-05,1.95e-02,9.98e-01,UP,5.316,95.985,13.803,96.745,1.741,78.0,3.41e-06,1.01e-05,TCGA_UP,Normal-tissue-specific miR,UPREGULATED
hsa-mir-323b-3p,0.551,"Adrenal Gland [0.08], Testis [0.07], Peritoneum [0.07]",0.714,"Adrenal Gland [0.12], Brain [0.12], Kidney [0.06]",-0.163,8,3,1.193,2.92e-05,1.13e-01,9.67e-01,NS,16.561,188.1,43.203,429.703,1.776,122.0,1.36e-04,2.86e-04,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-1-3p,0.546,"Mucosa [0.08], Uterus [0.06], Pancreas [0.06]",0.405,"Heart [0.06], Soft Tissues [0.06], Salivary Gland [0.05]",0.141,2,12,-2.117,2.17e-13,9.99e-01,6.47e-03,DOWN,10971.42,135763.843,350.189,5147.638,-4.194,587.0,8.34e-07,3.16e-06,GTEx_UP,Non-specific miR,DOWNREGULATED
hsa-mir-655-3p,0.544,"Testis [0.08], Adrenal Gland [0.07], Peritoneum [0.07]",0.486,"Brain [0.07], Adrenal Gland [0.07], Spleen [0.05]",0.059,2,3,-0.994,5.51e-06,8.12e-01,5.00e-01,NS,22.784,144.282,17.231,115.786,-0.566,397.0,1.78e-01,2.18e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-654-5p,0.538,"Testis [0.08], Adrenal Gland [0.08], Peritoneum [0.07]",0.737,"Adrenal Gland [0.13], Brain [0.08], Spleen [0.07]",-0.199,3,4,-0.805,6.29e-04,7.73e-01,5.00e-01,NS,19.223,338.409,9.865,51.673,0.321,271.0,3.13e-01,3.65e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-7-5p,0.537,"Pancreas [0.08], Adrenal Gland [0.07], Lung [0.06]",0.548,"Brain [0.08], Adrenal Gland [0.08], Thyroid [0.07]",-0.011,11,1,1.532,1.92e-08,3.17e-03,1.00e+00,UP,106.961,1104.371,145.421,1602.858,0.62,262.0,2.39e-01,2.82e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-329-3p,0.533,"Adrenal Gland [0.08], Brain [0.08], Pancreas [0.08]",0.476,"Brain [0.07], Adrenal Gland [0.06], Spleen [0.05]",0.057,2,5,-1.059,1.00e-03,9.38e-01,2.27e-01,NS,123.184,1467.784,12.168,55.217,-2.9,592.0,5.13e-07,2.06e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-483-5p,0.531,"Adrenal Gland [0.08], Ovary [0.07], Fallopian tube [0.07]",0.575,"Liver [0.09], Omentum [0.07], Heart [0.07]",-0.044,6,4,1.276,3.03e-05,3.77e-01,8.28e-01,NS,21.064,178.838,84.312,638.166,1.264,228.0,6.90e-02,9.06e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-539-5p,0.525,"Adrenal Gland [0.08], Testis [0.07], Peritoneum [0.07]",0.628,"Brain [0.10], Adrenal Gland [0.10], Spleen [0.06]",-0.103,4,3,-0.4,7.36e-08,5.00e-01,7.73e-01,NS,18.746,179.945,56.976,478.357,1.475,147.0,8.24e-04,1.49e-03,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-421,0.524,"Fallopian tube [0.08], Kidney [0.05], Lung [0.05]",0.284,"Brain [0.05], Heart [0.05], Kidney [0.04]",0.24,4,0,0.988,9.18e-08,6.25e-02,1.00e+00,NS,55.991,207.419,26.672,250.175,-1.634,567.0,5.35e-06,1.52e-05,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-508-3p,0.523,"Skin [0.08], Adrenal Gland [0.08], Testis [0.07]",0.742,"Testis [0.13], Ovary [0.09], Adrenal Gland [0.08]",-0.219,6,5,0.851,3.68e-06,5.00e-01,7.26e-01,NS,928.393,22245.638,1530.803,19496.343,2.96,116.0,8.54e-05,1.85e-04,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-494-3p,0.523,"Pancreas [0.08], Testis [0.07], Brain [0.07]",0.499,"Adrenal Gland [0.07], Testis [0.06], Brain [0.05]",0.023,2,5,-0.934,3.80e-05,9.38e-01,2.27e-01,NS,41.717,417.673,14.872,76.027,-1.332,471.0,6.12e-03,9.30e-03,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-431-5p,0.521,"Adrenal Gland [0.08], Testis [0.07], Peritoneum [0.07]",0.678,"Adrenal Gland [0.11], Spleen [0.09], Brain [0.08]",-0.157,8,0,1.795,1.02e-05,3.91e-03,1.00e+00,UP,16.402,205.104,22.135,143.24,0.941,200.0,1.90e-02,2.71e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-299-5p,0.521,"Testis [0.08], Soft Tissues [0.06], Peritoneum [0.06]",0.649,"Adrenal Gland [0.10], Brain [0.09], Testis [0.07]",-0.128,1,6,-0.852,2.33e-07,9.92e-01,6.25e-02,NS,4.608,35.001,18.94,139.247,1.603,99.0,2.15e-05,5.50e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-543,0.515,"Pancreas [0.08], Testis [0.07], Brain [0.07]",0.388,"Adrenal Gland [0.06], Brain [0.06], Ovary [0.05]",0.127,2,1,-0.144,6.33e-04,5.00e-01,8.75e-01,NS,507.044,5114.026,19.103,78.232,-4.429,643.0,2.20e-09,3.33e-08,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-133a-3p,0.513,"Mucosa [0.08], Soft Tissues [0.06], Uterus [0.05]",0.473,"Heart [0.07], Soft Tissues [0.07], Salivary Gland [0.05]",0.04,2,12,-2.701,1.88e-15,9.99e-01,6.47e-03,DOWN,1487.454,17301.849,119.201,1259.565,-2.025,475.0,4.85e-03,7.49e-03,GTEx_UP,Non-specific miR,DOWNREGULATED
hsa-mir-18a-3p,0.512,"Lymph nodes [0.08], Fallopian tube [0.08], Bone Marrow [0.07]",0.667,"Whole Blood [0.11], Testis [0.05], Spleen [0.05]",-0.155,9,1,1.496,1.30e-10,1.07e-02,9.99e-01,UP,124.307,2842.56,13.172,64.109,-1.063,463.0,9.58e-03,1.43e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-217-5p,0.511,"Pancreas [0.08], Liver–Gallbladder [0.07], Soft Tissues [0.06]",0.873,"Pancreas [0.24], Kidney [0.08], Soft Tissues [0.07]",-0.362,4,5,-0.106,1.78e-10,7.46e-01,5.00e-01,NS,47.15,1176.9,599.164,6715.206,4.864,52.0,2.83e-07,1.28e-06,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-504-5p,0.51,"Fallopian tube [0.08], Kidney [0.08], Lung [0.06]",0.314,"Brain [0.06], Spleen [0.05], Soft Tissues [0.05]",0.196,0,5,-1.129,5.36e-05,1.00e+00,3.12e-02,DOWN,62.532,242.166,8.16,39.428,-2.906,614.0,5.45e-08,3.07e-07,GTEx_UP,Non-specific miR,DOWNREGULATED
hsa-mir-129-5p,0.503,"Adrenal Gland [0.08], Lymph nodes [0.07], Brain [0.07]",0.63,"Brain [0.10], Testis [0.08], Adrenal Gland [0.07]",-0.127,3,5,-1.009,2.97e-08,8.55e-01,3.63e-01,NS,206.837,3543.798,154.06,1346.384,0.723,264.0,2.54e-01,2.99e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-221-5p,0.501,"Fallopian tube [0.08], Lung [0.07], Pancreas [0.07]",0.247,"Spleen [0.05], Mucosa [0.05], Lung [0.05]",0.254,4,3,0.473,7.98e-07,5.00e-01,7.73e-01,NS,41.863,100.333,34.698,218.93,-1.074,443.0,2.68e-02,3.79e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-377-5p,0.501,"Testis [0.08], Fallopian tube [0.07], Adrenal Gland [0.06]",0.584,"Adrenal Gland [0.09], Brain [0.07], Testis [0.06]",-0.084,1,8,-1.532,2.61e-07,9.98e-01,1.95e-02,DOWN,14.1,135.398,9.939,51.573,-0.139,332.0,9.03e-01,9.12e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-214-3p,0.498,"Pancreas [0.08], Fallopian tube [0.07], Lung [0.06]",0.151,"Ovary [0.05], Spleen [0.04], Omentum [0.04]",0.347,1,7,-1.441,2.38e-09,9.96e-01,3.52e-02,DOWN,563.765,1224.069,145.886,1130.944,-3.457,575.0,2.59e-06,8.15e-06,GTEx_UP,Non-specific miR,DOWNREGULATED
hsa-mir-431-3p,0.497,"Adrenal Gland [0.08], Peritoneum [0.07], Testis [0.07]",0.846,"Brain [0.21], Adrenal Gland [0.16], Spleen [0.07]",-0.35,3,3,-0.728,2.31e-08,6.56e-01,6.56e-01,NS,1.873,24.236,154.576,1417.099,4.648,13.0,4.37e-09,4.92e-08,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-382-3p,0.495,"Adrenal Gland [0.08], Pancreas [0.07], Testis [0.07]",0.641,"Adrenal Gland [0.10], Brain [0.09], Spleen [0.08]",-0.146,2,2,-0.014,1.27e-04,6.88e-01,6.88e-01,NS,9.133,76.751,19.913,96.862,1.043,194.0,1.39e-02,2.03e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-3200-3p,0.494,"Ovary [0.08], Fallopian tube [0.06], Brain [0.06]",0.574,"Brain [0.09], Whole Blood [0.08], Adrenal Gland [0.06]",-0.08,8,0,1.472,2.18e-08,3.91e-03,1.00e+00,UP,23.428,214.989,15.61,93.677,0.025,294.0,5.66e-01,6.05e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-296-5p,0.492,"Ovary [0.08], Fallopian tube [0.06], Testis [0.05]",0.488,"Whole Blood [0.07], Testis [0.06], Thyroid [0.05]",0.004,1,3,0.46,3.13e-09,9.38e-01,3.12e-01,NS,11.379,71.551,20.521,153.662,0.566,211.0,3.25e-02,4.47e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-758-3p,0.491,"Testis [0.08], Adrenal Gland [0.06], Peritoneum [0.06]",0.711,"Adrenal Gland [0.12], Brain [0.11], Testis [0.08]",-0.22,3,3,-0.592,4.49e-06,6.56e-01,6.56e-01,NS,21.531,250.353,68.956,660.281,2.473,91.0,1.08e-05,2.93e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-323a-3p,0.491,"Adrenal Gland [0.08], Testis [0.07], Peritoneum [0.07]",0.632,"Brain [0.10], Adrenal Gland [0.10], Spleen [0.06]",-0.141,3,4,-0.069,1.52e-07,7.73e-01,5.00e-01,NS,48.167,543.103,60.335,406.687,1.027,199.0,1.80e-02,2.59e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-95-3p,0.49,"Pancreas [0.08], Mucosa [0.07], Kidney [0.07]",0.345,"Spleen [0.06], Brain [0.05], Soft Tissues [0.05]",0.145,3,3,0.829,4.28e-08,6.56e-01,6.56e-01,NS,747.925,6735.792,48.243,281.369,-4.088,616.0,4.41e-08,2.59e-07,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-1271-5p,0.487,"Kidney [0.08], Pancreas [0.06], Brain [0.06]",0.224,"Ovary [0.05], Heart [0.05], Soft Tissues [0.05]",0.263,2,2,-0.566,2.58e-09,6.88e-01,6.88e-01,NS,27.044,59.918,18.978,137.047,-1.0,508.0,5.85e-04,1.08e-03,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-485-3p,0.485,"Adrenal Gland [0.07], Testis [0.07], Peritoneum [0.07]",0.633,"Brain [0.10], Adrenal Gland [0.10], Whole Blood [0.07]",-0.148,3,4,-0.088,3.35e-06,7.73e-01,5.00e-01,NS,48.558,502.422,54.038,347.27,1.012,216.0,4.09e-02,5.54e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-191-3p,0.484,"Fallopian tube [0.07], Bone Marrow [0.07], Ovary [0.06]",0.954,"Whole Blood [0.47], Heart [0.14], Esophagus [0.08]",-0.47,3,2,0.63,1.17e-10,5.00e-01,8.12e-01,NS,2.031,46.639,9.264,39.564,2.4,27.0,1.99e-08,1.57e-07,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-493-3p,0.484,"Testis [0.07], Pancreas [0.06], Peritoneum [0.06]",0.543,"Adrenal Gland [0.08], Spleen [0.06], Ovary [0.06]",-0.059,5,2,0.966,6.18e-05,2.27e-01,9.38e-01,NS,87.69,1197.031,33.327,250.902,-0.604,389.0,2.32e-01,2.74e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-138-5p,0.483,"Thyroid [0.07], Lymph nodes [0.07], Brain [0.07]",0.626,"Brain [0.10], Thyroid [0.09], Kidney [0.07]",-0.143,3,6,-1.111,2.34e-08,9.10e-01,2.54e-01,NS,121.858,1589.434,18.187,87.216,-0.763,369.0,4.12e-01,4.63e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-125a-3p,0.481,"Fallopian tube [0.07], Ovary [0.06], Testis [0.05]",0.241,"Adrenal Gland [0.05], Lung [0.05], Omentum [0.05]",0.24,1,1,-0.657,4.05e-06,7.50e-01,7.50e-01,NS,23.126,53.056,17.16,111.843,-0.744,504.0,7.70e-04,1.41e-03,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-154-5p,0.478,"Adrenal Gland [0.07], Testis [0.07], Peritoneum [0.06]",0.516,"Adrenal Gland [0.08], Brain [0.06], Spleen [0.05]",-0.038,2,5,-0.872,8.35e-08,9.38e-01,2.27e-01,NS,15.244,109.963,20.918,119.479,0.312,283.0,4.34e-01,4.82e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-376c-3p,0.477,"Testis [0.07], Pancreas [0.06], Adrenal Gland [0.06]",0.439,"Adrenal Gland [0.07], Brain [0.05], Spleen [0.05]",0.038,1,5,-0.992,1.80e-09,9.84e-01,1.09e-01,NS,54.01,421.631,37.917,286.135,-0.667,401.0,1.55e-01,1.92e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-409-5p,0.474,"Adrenal Gland [0.07], Peritoneum [0.06], Testis [0.06]",0.586,"Adrenal Gland [0.09], Brain [0.07], Spleen [0.06]",-0.112,4,2,0.66,8.16e-08,3.44e-01,8.91e-01,NS,22.272,242.286,60.726,514.271,1.472,138.0,4.41e-04,8.48e-04,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-23a-5p,0.473,"Bone Marrow [0.07], Fallopian tube [0.06], Mucosa [0.06]",0.472,"Skin [0.07], Omentum [0.07], Lung [0.06]",0.001,1,3,-0.909,1.66e-11,9.38e-01,3.12e-01,NS,14.644,67.764,10.698,51.174,-0.273,359.0,5.28e-01,5.71e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-432-5p,0.473,"Adrenal Gland [0.07], Testis [0.07], Peritoneum [0.06]",0.445,"Brain [0.07], Adrenal Gland [0.07], Spleen [0.05]",0.028,2,5,-0.934,2.48e-07,9.38e-01,2.27e-01,NS,73.771,540.578,99.129,783.791,0.066,328.0,9.62e-01,9.67e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-345-5p,0.473,"Fallopian tube [0.07], Ovary [0.05], Breast [0.05]",0.279,"Thyroid [0.05], Whole Blood [0.05], Kidney [0.04]",0.194,6,2,1.084,9.13e-23,1.45e-01,9.65e-01,NS,245.075,1274.405,136.64,1691.652,-1.684,542.0,4.52e-05,1.06e-04,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-592,0.472,"Colon [0.07], Adrenal Gland [0.07], Kidney [0.07]",0.664,"Brain [0.11], Liver [0.08], Adrenal Gland [0.08]",-0.191,11,0,2.223,4.97e-12,4.88e-04,1.00e+00,UP,13.595,130.914,18.573,83.956,0.985,222.0,5.34e-02,7.11e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-31-5p,0.471,"Fallopian tube [0.07], Mucosa [0.07], Pancreas [0.06]",0.621,"Mucosa [0.10], Bladder [0.08], Testis [0.07]",-0.151,10,2,2.317,8.55e-13,1.93e-02,9.97e-01,UP,8.673,57.106,232.261,1979.151,3.683,77.0,3.11e-06,9.57e-06,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-483-3p,0.471,"Ovary [0.07], Adrenal Gland [0.07], Liver–Gallbladder [0.07]",0.63,"Liver [0.10], Adrenal Gland [0.07], Omentum [0.07]",-0.159,6,5,0.903,1.82e-05,5.00e-01,7.26e-01,NS,15.573,166.067,133.234,758.197,2.382,147.0,8.24e-04,1.49e-03,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-184,0.47,"Testis [0.07], Breast [0.06], Thymus [0.06]",0.824,"Brain [0.19], Kidney [0.15], Lung [0.14]",-0.354,5,5,-0.305,9.28e-17,6.23e-01,6.23e-01,NS,9.672,134.663,64.022,456.567,3.359,67.0,1.21e-06,4.37e-06,TCGA_UP,Normal-tissue-specific miR,NOT_SIGNIFICANT
hsa-mir-338-5p,0.469,"Brain [0.07], Lung [0.06], Skin [0.06]",0.44,"Brain [0.07], Soft Tissues [0.06], Lung [0.05]",0.029,1,8,-1.202,1.89e-07,9.98e-01,1.95e-02,DOWN,112.102,993.063,23.155,166.915,-1.761,551.0,2.15e-05,5.50e-05,GTEx_UP,Non-specific miR,DOWNREGULATED
hsa-mir-370-3p,0.468,"Testis [0.07], Adrenal Gland [0.07], Peritoneum [0.06]",0.401,"Adrenal Gland [0.06], Brain [0.06], Spleen [0.05]",0.067,2,2,-0.678,9.81e-08,6.88e-01,6.88e-01,NS,752.464,8744.383,59.957,426.566,-3.212,595.0,3.81e-07,1.62e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-204-5p,0.467,"Kidney [0.07], Fallopian tube [0.06], Thorax [0.06]",0.399,"Kidney [0.06], Testis [0.05], Brain [0.05]",0.068,3,11,-1.659,8.90e-07,9.94e-01,2.87e-02,DOWN,919.894,10898.296,239.16,1900.924,-1.959,475.0,4.85e-03,7.49e-03,GTEx_UP,Non-specific miR,DOWNREGULATED
hsa-mir-34c-3p,0.466,"Thymus [0.07], Thorax [0.07], Lung [0.06]",0.746,"Testis [0.14], Fallopian Tube [0.12], Lung [0.11]",-0.28,6,3,1.16,1.61e-05,2.54e-01,9.10e-01,NS,35.721,443.217,25.581,125.112,1.382,141.0,5.45e-04,1.02e-03,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-4661-5p,0.464,"Testis [0.07], Ovary [0.06], Bone Marrow [0.06]",0.637,"Whole Blood [0.10], Testis [0.06], Spleen [0.06]",-0.173,9,1,1.077,2.89e-08,1.07e-02,9.99e-01,UP,4.147,32.675,10.929,53.387,1.28,98.0,1.97e-05,5.15e-05,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-92a-1-5p,0.46,"Lymph nodes [0.07], Testis [0.07], Bone Marrow [0.07]",0.292,"Skin [0.05], Omentum [0.05], Mucosa [0.05]",0.167,7,1,1.244,8.62e-10,3.52e-02,9.96e-01,UP,28.649,78.142,28.928,153.958,-0.503,404.0,1.39e-01,1.74e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-889-3p,0.457,"Adrenal Gland [0.07], Testis [0.07], Peritoneum [0.06]",0.61,"Adrenal Gland [0.09], Brain [0.09], Spleen [0.06]",-0.153,3,4,-0.409,1.22e-07,7.73e-01,5.00e-01,NS,30.563,324.559,156.212,1224.603,2.339,92.0,1.18e-05,3.15e-05,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-629-3p,0.452,"Lymph nodes [0.07], Testis [0.07], Bone Marrow [0.06]",0.72,"Whole Blood [0.12], Spleen [0.08], Mucosa [0.07]",-0.268,8,1,1.264,1.99e-15,1.95e-02,9.98e-01,UP,2.971,27.868,14.237,62.153,1.929,64.0,9.18e-07,3.41e-06,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-424-3p,0.444,"Fallopian tube [0.07], Kidney [0.07], Pancreas [0.06]",0.373,"Testis [0.06], Ovary [0.06], Fallopian Tube [0.05]",0.071,3,3,0.575,7.52e-08,6.56e-01,6.56e-01,NS,148.681,888.188,30.915,166.922,-2.053,527.0,1.47e-04,3.04e-04,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-369-5p,0.443,"Testis [0.07], Adrenal Gland [0.07], Peritoneum [0.06]",0.527,"Adrenal Gland [0.08], Brain [0.07], Spleen [0.06]",-0.084,1,8,-1.447,5.04e-15,9.98e-01,1.95e-02,DOWN,40.996,405.012,15.628,69.184,-0.765,435.0,3.91e-02,5.31e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-187-3p,0.442,"Skin [0.07], Bladder [0.07], Fallopian tube [0.06]",0.52,"Testis [0.08], Esophagus [0.08], Kidney [0.07]",-0.079,8,3,1.31,4.35e-07,1.13e-01,9.67e-01,NS,43.531,225.235,60.433,275.651,0.776,259.0,2.17e-01,2.58e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-144-3p,0.439,"Bone Marrow [0.07], Kidney [0.06], Testis [0.05]",0.48,"Lung [0.07], Spleen [0.07], Omentum [0.06]",-0.041,3,8,-1.617,3.25e-14,9.67e-01,1.13e-01,NS,28.977,155.649,22.722,135.251,0.122,288.0,4.92e-01,5.35e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-185-3p,0.438,"Lymph nodes [0.07], Skin [0.06], Bone Marrow [0.06]",0.643,"Whole Blood [0.10], Spleen [0.06], Heart [0.06]",-0.205,4,0,0.859,1.56e-07,6.25e-02,1.00e+00,NS,34.342,582.487,14.949,77.662,0.083,277.0,3.71e-01,4.23e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-125b-2-3p,0.437,"Fallopian tube [0.07], Ovary [0.05], Brain [0.05]",0.22,"Brain [0.05], Prostate [0.05], Vagina [0.05]",0.218,2,6,-1.031,9.32e-09,9.65e-01,1.45e-01,NS,119.186,294.288,149.254,1694.115,-0.301,415.0,9.17e-02,1.18e-01,NS,Non-specific miR,NOT_SIGNIFICANT
