,mature_name,Tau_tcga,tcga_tissues
316,hsa-mir-374a-5p,0.2360273895311206,"Bone Marrow [0.05], Kidney [0.05], Lymph nodes [0.05]"
317,hsa-mir-582-3p,0.2346166363408031,"Bone Marrow [0.05], Skin [0.05], Bladder [0.05]"
318,hsa-mir-29c-5p,0.2346060853224586,"Thymus [0.05], Thorax [0.05], Thyroid [0.05]"
319,hsa-let-7d-5p,0.23234413080660854,"Fallopian tube [0.05], Lung [0.05], Pancreas [0.05]"
320,hsa-mir-193a-5p,0.23162279901765068,"Ovary [0.05], Skin [0.05], Liver–Gallbladder [0.05]"
321,hsa-mir-193b-3p,0.23143732890250993,"Fallopian tube [0.05], Mucosa [0.05], Breast [0.05]"
322,hsa-mir-374b-5p,0.22691465408827302,"Bone Marrow [0.05], Kidney [0.05], Testis [0.05]"
323,hsa-mir-26b-3p,0.22598086958811295,"Bone Marrow [0.05], Fallopian tube [0.05], Thyroid [0.05]"
324,hsa-mir-452-5p,0.22484936374715994,"Mucosa [0.05], Liver–Gallbladder [0.05], Bladder [0.05]"
325,hsa-mir-218-5p,0.2240749485254245,"Lung [0.05], Kidney [0.05], Thorax [0.05]"
326,hsa-mir-338-3p,0.22351894287024776,"Brain [0.05], Skin [0.05], Stomach [0.05]"
327,hsa-mir-26a-5p,0.22052867406937945,"Fallopian tube [0.05], Pancreas [0.05], Lung [0.05]"
328,hsa-mir-199a-5p,0.2192144966646312,"Soft Tissues [0.05], Peritoneum [0.05], Testis [0.05]"
329,hsa-mir-652-3p,0.2181261406436071,"Bone Marrow [0.05], Lung [0.05], Skin [0.05]"
330,hsa-mir-24-2-5p,0.2179298870890006,"Mucosa [0.05], Pancreas [0.05], Lung [0.05]"
331,hsa-mir-181c-3p,0.21557302935949088,"Bone Marrow [0.05], Brain [0.05], Fallopian tube [0.05]"
332,hsa-mir-424-5p,0.21091209458486204,"Thyroid [0.05], Testis [0.05], Kidney [0.05]"
333,hsa-mir-30a-3p,0.21064810466427894,"Kidney [0.05], Thyroid [0.05], Breast [0.05]"
334,hsa-mir-874-3p,0.2087320867832465,"Fallopian tube [0.05], Lymph nodes [0.05], Thyroid [0.05]"
335,hsa-mir-15b-5p,0.20782566072496525,"Bone Marrow [0.05], Lymph nodes [0.05], Ovary [0.05]"
336,hsa-mir-660-5p,0.2049534741056691,"Kidney [0.05], Pancreas [0.05], Lung [0.05]"
337,hsa-let-7i-5p,0.20303484902812421,"Fallopian tube [0.05], Pancreas [0.05], Lung [0.05]"
338,hsa-mir-708-3p,0.20193053885965903,"Mucosa [0.05], Brain [0.05], Testis [0.05]"
339,hsa-mir-132-3p,0.20030850410805268,"Thorax [0.05], Thymus [0.05], Adrenal Gland [0.05]"
340,hsa-mir-30c-5p,0.19599857313784022,"Kidney [0.05], Fallopian tube [0.05], Bone Marrow [0.04]"
341,hsa-mir-378a-3p,0.19127156200515374,"Fallopian tube [0.05], Ovary [0.05], Lymph nodes [0.05]"
342,hsa-mir-374a-3p,0.19050564066397116,"Testis [0.05], Bone Marrow [0.05], Lymph nodes [0.05]"
343,hsa-mir-181a-2-3p,0.18632923405288196,"Thyroid [0.05], Skin [0.05], Bone Marrow [0.05]"
344,hsa-let-7g-5p,0.18228914404610197,"Pancreas [0.05], Lung [0.05], Fallopian tube [0.05]"
345,hsa-mir-505-3p,0.181843743646822,"Bone Marrow [0.05], Kidney [0.05], Lymph nodes [0.05]"
346,hsa-mir-126-5p,0.1802318835631793,"Kidney [0.05], Fallopian tube [0.05], Lung [0.05]"
347,hsa-mir-148b-3p,0.17890964145575453,"Fallopian tube [0.05], Kidney [0.04], Lung [0.04]"
348,hsa-mir-26b-5p,0.17741474381143454,"Lung [0.05], Pancreas [0.05], Kidney [0.05]"
349,hsa-mir-1307-3p,0.17386936690128454,"Ovary [0.05], Lymph nodes [0.05], Bone Marrow [0.05]"
350,hsa-mir-93-5p,0.17320575509674696,"Bone Marrow [0.05], Lymph nodes [0.05], Skin [0.04]"
351,hsa-mir-199b-3p,0.1727579056030598,"Pancreas [0.05], Soft Tissues [0.05], Peritoneum [0.05]"
352,hsa-mir-199a-3p,0.17250702199973067,"Pancreas [0.05], Soft Tissues [0.05], Peritoneum [0.05]"
353,hsa-mir-106b-3p,0.17236063494755516,"Lymph nodes [0.05], Bone Marrow [0.05], Ovary [0.05]"
354,hsa-mir-125b-5p,0.17088151182739267,"Pancreas [0.05], Brain [0.05], Thymus [0.05]"
355,hsa-mir-365a-3p,0.1701790831120569,"Pancreas [0.05], Kidney [0.05], Mucosa [0.05]"
356,hsa-mir-365b-3p,0.17016710160493476,"Pancreas [0.05], Kidney [0.05], Mucosa [0.05]"
357,hsa-mir-28-5p,0.16994300207111324,"Pancreas [0.05], Lung [0.05], Fallopian tube [0.05]"
358,hsa-let-7a-3p,0.16979499841274767,"Uterus [0.05], Bone Marrow [0.05], Thymus [0.05]"
359,hsa-mir-99b-5p,0.1670315597563713,"Ovary [0.05], Skin [0.04], Adrenal Gland [0.04]"
360,hsa-mir-100-5p,0.16667517252239053,"Thymus [0.05], Thorax [0.05], Thyroid [0.04]"
361,hsa-mir-23b-3p,0.1633166196497006,"Pancreas [0.05], Lung [0.05], Kidney [0.05]"
362,hsa-mir-361-3p,0.16163184238389208,"Lymph nodes [0.05], Bone Marrow [0.05], Skin [0.04]"
363,hsa-mir-29c-3p,0.16051102780387397,"Thyroid [0.05], Thymus [0.05], Thorax [0.05]"
364,hsa-mir-99a-5p,0.1590239898339653,"Thymus [0.05], Brain [0.05], Thorax [0.05]"
365,hsa-mir-210-3p,0.15481960377245135,"Lymph nodes [0.05], Uterus [0.05], Kidney [0.04]"
366,hsa-mir-1307-5p,0.15178381628143806,"Lymph nodes [0.05], Thorax [0.05], Bone Marrow [0.04]"
