,mature_name,Tau_gtex,gtex_tissues
384,hsa-let-7d-5p,0.09407258882112247,"Lung [0.04], Spleen [0.04], Heart [0.04]"
385,hsa-mir-374b-5p,0.09368517686539293,"Brain [0.04], Spleen [0.04], Kidney [0.04]"
386,hsa-mir-151a-3p,0.09169952359293346,"Whole Blood [0.04], Spleen [0.04], Adrenal Gland [0.04]"
387,hsa-let-7g-5p,0.090732945858178,"Spleen [0.04], Heart [0.04], Thyroid [0.04]"
388,hsa-mir-125a-5p,0.08803581195787123,"Adrenal Gland [0.04], Thyroid [0.04], Omentum [0.04]"
389,hsa-mir-27b-3p,0.08752134554640648,"Mucosa [0.04], Heart [0.04], Kidney [0.04]"
390,hsa-let-7b-5p,0.08727644489356765,"Skin [0.04], Omentum [0.04], Breast [0.04]"
391,hsa-mir-100-5p,0.07960272459435186,"Thyroid [0.04], Ovary [0.04], Fallopian Tube [0.04]"
392,hsa-mir-24-3p,0.07841080543302631,"Heart [0.04], Skin [0.04], Lung [0.04]"
393,hsa-mir-26a-5p,0.04664997015810315,"Spleen [0.04], Lung [0.04], Ovary [0.04]"
