,miRNA,category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description,source,fold_enrichment
26,ALL_UP,KEGG,hsa05212,16,71,9606,"CCND1,CDK4,E2F3,STAT3,CDK6,RB1,TP53,BAX,MAP2K1,SMAD4,E2F1,TGFBR2,E2F2,CDKN1A,CDKN2A,AKT1","CCND1,CDK4,E2F3,STAT3,CDK6,RB1,TP53,BAX,MAP2K1,SMAD4,E2F1,TGFBR2,E2F2,CDKN1A,CDKN2A,AKT1",2.25e-07,2.91e-06,Pancreatic cancer,KEGG,4.145248663195051
27,ALL_UP,KEGG,hsa05222,18,92,9606,"CCND1,CDK4,E2F3,CDK6,RB1,TP53,BAX,CASP3,CKS1B,E2F1,E2F2,XIAP,PTEN,BCL2,CDKN1A,CCNE2,AKT1,MYC","CCND1,CDK4,E2F3,CDK6,RB1,TP53,BAX,CASP3,CKS1B,E2F1,E2F2,XIAP,PTEN,BCL2,CDKN1A,CCNE2,AKT1,MYC",2.54e-07,3.04e-06,Small cell lung cancer,KEGG,3.5989319236163553
28,ALL_UP,KEGG,hsa05167,26,187,9606,"CCND1,CDK4,E2F3,FGF2,STAT3,LEF1,CDK6,RB1,TP53,BAX,MAP2K1,FOS,CASP3,TCF7,E2F1,BECN1,E2F2,SRC,IFNB1,IL6ST,CDKN1A,MAP2K4,HIF1A,AKT1,MYC,CTNNB1","CCND1,CDK4,E2F3,FGF2,STAT3,LEF1,CDK6,RB1,TP53,BAX,MAP2K1,FOS,CASP3,TCF7,E2F1,BECN1,E2F2,SRC,IFNB1,IL6ST,CDKN1A,MAP2K4,HIF1A,AKT1,MYC,CTNNB1",2.8e-07,3.25e-06,Kaposi sarcoma-associated herpesvirus infection,KEGG,2.5575297567707436
29,ALL_UP,KEGG,hsa04934,23,153,9606,"CCND1,CDK4,CDKN2C,E2F3,LEF1,CDK6,RB1,FZD1,WNT1,MAP2K1,AXIN2,TCF7,E2F1,CREB5,FZD6,E2F2,RAP1A,CDKN1A,AGTR1,CDKN2A,CCNE2,LDLR,CTNNB1","CCND1,CDK4,CDKN2C,E2F3,LEF1,CDK6,RB1,FZD1,WNT1,MAP2K1,AXIN2,TCF7,E2F1,CREB5,FZD6,E2F2,RAP1A,CDKN1A,AGTR1,CDKN2A,CCNE2,LDLR,CTNNB1",4.01e-07,4.38e-06,Cushing syndrome,KEGG,2.7651924293290517
30,ALL_UP,KEGG,hsa05163,28,217,9606,"CCND1,PDGFRA,CDK4,MDM2,E2F3,STAT3,CDK6,RB1,TP53,BAX,MAP2K1,CASP3,E2F1,CRKL,CREB5,E2F2,IL6R,SRC,IFNB1,GRB2,CDKN1A,BCAR1,TNF,TAPBP,CDKN2A,AKT1,MYC,CTNNB1","CCND1,PDGFRA,CDK4,MDM2,E2F3,STAT3,CDK6,RB1,TP53,BAX,MAP2K1,CASP3,E2F1,CRKL,CREB5,E2F2,IL6R,SRC,IFNB1,GRB2,CDKN1A,BCAR1,TNF,TAPBP,CDKN2A,AKT1,MYC,CTNNB1",3.91e-07,4.38e-06,Human cytomegalovirus infection,KEGG,2.3734891539261986
31,ALL_UP,KEGG,hsa04390,23,154,9606,"PPP2CB,SERPINE1,CCND1,LEF1,FZD1,WNT1,AXIN2,SOX2,TCF7,SMAD4,PPP1CC,FRMD6,FZD6,TGFBR2,PARD6B,BMP8B,CCND3,BMP2,BMP7,MOB1B,PPP2CA,MYC,CTNNB1","PPP2CB,SERPINE1,CCND1,LEF1,FZD1,WNT1,AXIN2,SOX2,TCF7,SMAD4,PPP1CC,FRMD6,FZD6,TGFBR2,PARD6B,BMP8B,CCND3,BMP2,BMP7,MOB1B,PPP2CA,MYC,CTNNB1",4.44e-07,4.66e-06,Hippo signaling pathway,KEGG,2.7472366343334085
32,ALL_UP,KEGG,hsa05202,24,171,9606,"SPI1,H3F3A,MDM2,CDKN2C,TP53,ATM,MYCN,FLT1,CSF1R,BAX,CEBPB,MET,ELK4,TGFBR2,FUT8,HDAC1,FOXO1,IGFBP3,IGF1,SIN3A,CDKN1A,HMGA2,MYC,IGF1R","SPI1,H3-3B,MDM2,CDKN2C,TP53,ATM,MYCN,FLT1,CSF1R,BAX,CEBPB,MET,ELK4,TGFBR2,FUT8,HDAC1,FOXO1,IGFBP3,IGF1,SIN3A,CDKN1A,HMGA2,MYC,IGF1R",6.87e-07,7e-06,Transcriptional misregulation in cancer,KEGG,2.581689956902181
33,ALL_UP,KEGG,hsa04068,20,126,9606,"SIRT1,CCND1,MDM2,STAT3,PLK2,ATM,RAG1,MAP2K1,IRS1,SMAD4,TGFBR2,PTEN,FOXO1,GRB2,IGF1,BCL2L11,CDKN1A,SOD2,AKT1,IGF1R","SIRT1,CCND1,MDM2,STAT3,PLK2,ATM,RAG1,MAP2K1,IRS1,SMAD4,TGFBR2,PTEN,FOXO1,GRB2,IGF1,BCL2L11,CDKN1A,SOD2,AKT1,IGF1R",1.07e-06,1.06e-05,FoxO signaling pathway,KEGG,2.919768403639371
34,ALL_UP,KEGG,hsa04510,25,195,9606,"CCND1,PDGFRA,PDGFRB,MYLK4,FLT1,MAP2K1,MET,PPP1CC,CRKL,THBS2,PIP5K1A,RAP1A,VAV3,XIAP,PTEN,RAPGEF1,CCND3,SRC,GRB2,IGF1,BCL2,BCAR1,AKT1,CTNNB1,IGF1R","CCND1,PDGFRA,PDGFRB,MYLK4,FLT1,MAP2K1,MET,PPP1CC,CRKL,THBS2,PIP5K1A,RAP1A,VAV3,XIAP,PTEN,RAPGEF1,CCND3,SRC,GRB2,IGF1,BCL2,BCAR1,AKT1,CTNNB1,IGF1R",1.8e-06,1.73e-05,Focal adhesion,KEGG,2.358274479862569
35,ALL_UP,KEGG,hsa05132,26,209,9606,"M6PR,TAB1,WASL,PFN1,EXOC2,RAB9B,TLR2,CSE1L,LEF1,TNFRSF10B,BAX,MAP2K1,FOS,GCC2,CASP3,VPS39,TCF7,RAB5B,PIK3C2B,BCL2,TNF,MAP2K4,AKT1,MYC,EXOC5,CTNNB1","M6PR,TAB1,WASL,PFN1,EXOC2,RAB9B,TLR2,CSE1L,LEF1,TNFRSF10B,BAX,MAP2K1,FOS,GCC2,CASP3,VPS39,TCF7,RAB5B,PIK3C2B,BCL2,TNF,MAP2K4,AKT1,MYC,EXOC5,CTNNB1",1.87e-06,1.75e-05,Salmonella infection,KEGG,2.2883160981632966
36,ALL_UP,KEGG,hsa04919,19,120,9606,"CCND1,NOTCH2,MDM2,TP53,ATP1B3,MAP2K1,MED16,ATP1B1,HDAC1,SRC,FOXO1,PFKP,SIN3A,SLC2A1,HIF1A,AKT1,MYC,CTNNB1,NOTCH1","CCND1,NOTCH2,MDM2,TP53,ATP1B3,MAP2K1,MED16,ATP1B1,HDAC1,SRC,FOXO1,PFKP,SIN3A,SLC2A1,HIF1A,AKT1,MYC,CTNNB1,NOTCH1",2.04e-06,1.85e-05,Thyroid hormone signaling pathway,KEGG,2.912468982630273
