,mature_name,n_projects_up,n_projects_down,median_log2fc,median_padj,binom_p_up,binom_p_down,Binomial_result
316,hsa-mir-551b-3p,8,3,1.6989999999999998,8.075e-06,0.11328125,0.96728515625,NS
317,hsa-mir-552-3p,4,1,4.118,7.11e-06,0.1875,0.96875,NS
318,hsa-mir-574-3p,1,2,-0.517,2.458005e-07,0.875,0.5,NS
319,hsa-mir-576-5p,2,1,0.672,4.32e-10,0.5,0.875,NS
320,hsa-mir-582-3p,2,3,0.43,1.16e-05,0.8125,0.5,NS
321,hsa-mir-582-5p,2,3,-0.492,1.9265e-05,0.8125,0.5,NS
322,hsa-mir-584-5p,7,2,1.1320000000000001,7.405e-10,0.08984375,0.98046875,NS
323,hsa-mir-589-5p,3,1,0.6459999999999999,1.342e-11,0.3125,0.9375,NS
324,hsa-mir-590-3p,4,1,0.807,3.81e-11,0.1875,0.96875,NS
325,hsa-mir-592,11,0,2.223,4.9755e-12,0.00048828125,1.0,UP
326,hsa-mir-598-3p,1,3,-0.484,6.01e-07,0.9375,0.3125,NS
327,hsa-mir-615-3p,9,1,2.301,7.03e-08,0.0107421875,0.9990234375,UP
328,hsa-mir-628-5p,3,1,0.42,7.68e-08,0.3125,0.9375,NS
329,hsa-mir-629-3p,8,1,1.2645,1.9953235e-15,0.01953125,0.998046875,UP
330,hsa-mir-629-5p,2,0,0.773,2.78e-06,0.25,1.0,NS
331,hsa-mir-651-5p,6,0,1.017,4.2650000000000005e-09,0.015625,1.0,UP
332,hsa-mir-652-3p,2,4,-0.416,9.12e-12,0.890625,0.34375,NS
333,hsa-mir-653-5p,6,1,1.335,6.81e-08,0.0625,0.9921875,NS
334,hsa-mir-654-3p,1,7,-1.1,2.585242e-07,0.99609375,0.03515625,DOWN
335,hsa-mir-654-5p,3,4,-0.805,0.000629,0.7734375,0.5,NS
336,hsa-mir-655-3p,2,3,-0.994,5.51e-06,0.8125,0.5,NS
337,hsa-mir-660-5p,2,3,0.055999999999999994,1.2254999999999999e-11,0.8125,0.5,NS
338,hsa-mir-671-3p,3,1,0.701,1.46e-06,0.3125,0.9375,NS
339,hsa-mir-671-5p,11,0,1.157,4.35e-14,0.00048828125,1.0,UP
340,hsa-mir-7-1-3p,5,0,0.669,2.1100235500000002e-05,0.03125,1.0,UP
341,hsa-mir-7-5p,11,1,1.5325,1.9190000000000002e-08,0.003173828125,0.999755859375,UP
342,hsa-mir-708-3p,6,1,1.005,3.0469e-10,0.0625,0.9921875,NS
343,hsa-mir-708-5p,10,1,1.486,1.6299999999999999e-13,0.005859375,0.99951171875,UP
344,hsa-mir-744-5p,0,2,0.39449999999999996,5.4495e-11,1.0,0.25,NS
345,hsa-mir-758-3p,3,3,-0.5915,4.488399999999999e-06,0.65625,0.65625,NS
346,hsa-mir-760,11,1,1.576,3.29e-10,0.003173828125,0.999755859375,UP
347,hsa-mir-766-3p,2,1,0.7929999999999999,1.2231450000000001e-11,0.5,0.875,NS
348,hsa-mir-769-5p,0,0,0.614,5.43e-05,,,NS
349,hsa-mir-874-3p,1,3,-0.434,6.39e-06,0.9375,0.3125,NS
350,hsa-mir-885-5p,7,3,2.143,3.5987500000000002e-09,0.171875,0.9453125,NS
351,hsa-mir-887-3p,0,3,-0.629,2.55e-05,1.0,0.125,NS
352,hsa-mir-889-3p,3,4,-0.409,1.22e-07,0.7734375,0.5,NS
353,hsa-mir-9-3p,8,1,2.615,2.68e-09,0.01953125,0.998046875,UP
354,hsa-mir-9-5p,10,1,3.213,1.86e-20,0.005859375,0.99951171875,UP
355,hsa-mir-92a-1-5p,7,1,1.244,8.62e-10,0.03515625,0.99609375,UP
356,hsa-mir-92a-3p,1,1,0.744,3.61e-08,0.75,0.75,NS
357,hsa-mir-92b-3p,6,1,0.8585,3.9649999999999994e-09,0.0625,0.9921875,NS
358,hsa-mir-93-3p,6,1,0.92,1.250324e-15,0.0625,0.9921875,NS
359,hsa-mir-93-5p,12,0,1.262,9.75e-22,0.000244140625,1.0,UP
360,hsa-mir-935,8,1,1.2365,7.295999999999999e-05,0.01953125,0.998046875,UP
361,hsa-mir-944,10,1,1.515,6.65e-07,0.005859375,0.99951171875,UP
362,hsa-mir-95-3p,3,3,0.829,4.28e-08,0.65625,0.65625,NS
363,hsa-mir-96-5p,14,0,2.428,1.4650000002079998e-30,6.103515625e-05,1.0,UP
364,hsa-mir-98-5p,0,0,0.256,0.0001117,,,NS
365,hsa-mir-99a-3p,2,6,-1.008,1.074e-05,0.96484375,0.14453125,NS
366,hsa-mir-99a-5p,2,5,-0.754,6.455e-09,0.9375,0.2265625,NS
367,hsa-mir-99b-3p,4,0,0.7589999999999999,2.5649999999999998e-08,0.0625,1.0,NS
368,hsa-mir-99b-5p,2,1,0.087,4.3895e-06,0.5,0.875,NS
369,hsa-mir-1251-5p,4,6,-1.743,1.21e-11,0.828125,0.376953125,NS
370,hsa-mir-1298-3p,1,1,-1.1404999999999998,3.3608099999999994e-05,0.75,0.75,NS
371,hsa-mir-1298-5p,1,2,-1.003,1.48e-07,0.875,0.5,NS
372,hsa-mir-1323,2,1,2.9115,1.16205e-05,0.5,0.875,NS
373,hsa-mir-302a-3p,0,0,,,,,NS
374,hsa-mir-302a-5p,0,0,,,,,NS
375,hsa-mir-302b-3p,0,0,,,,,NS
376,hsa-mir-302d-3p,0,0,,,,,NS
377,hsa-mir-371a-3p,1,0,2.446,2.81e-09,0.5,1.0,NS
378,hsa-mir-373-3p,4,0,2.4545000000000003,0.00366255,0.0625,1.0,NS
379,hsa-mir-449c-5p,3,0,3.797,1.12e-11,0.125,1.0,NS
380,hsa-mir-498-5p,2,0,3.662,1.33e-05,0.25,1.0,NS
381,hsa-mir-506-3p,3,4,-2.829,3.85e-10,0.7734375,0.5,NS
382,hsa-mir-507,3,4,-2.18,6.73e-06,0.7734375,0.5,NS
383,hsa-mir-513a-5p,2,3,-2.036,0.000598,0.8125,0.5,NS
384,hsa-mir-513c-5p,3,4,-1.92,7.99e-06,0.7734375,0.5,NS
385,hsa-mir-514b-5p,2,4,-3.9025,5.7941499999999996e-08,0.890625,0.34375,NS
386,hsa-mir-517c-3p,1,0,4.577,4.43e-05,0.5,1.0,NS
387,hsa-mir-518a-3p,2,0,4.231,0.000736,0.25,1.0,NS
388,hsa-mir-518e-3p,2,0,5.026,0.000146,0.25,1.0,NS
389,hsa-mir-519d-3p,2,0,4.8934999999999995,2.1209e-05,0.25,1.0,NS
390,hsa-mir-520a-5p,3,1,4.0515,0.00035689,0.3125,0.9375,NS
391,hsa-mir-520c-3p,2,0,5.4985,4.9754465000000004e-05,0.25,1.0,NS
392,hsa-mir-522-3p,5,0,4.526,1.25e-06,0.03125,1.0,UP
393,hsa-mir-934,4,2,3.1745,8.26e-13,0.34375,0.890625,NS
