,mature_name,n_projects_up,n_projects_down,median_log2fc,median_padj,binom_p_up,binom_p_down,Binomial_result
98,hsa-mir-185-3p,4,0,0.8585,1.5607049999999998e-07,0.0625,1.0,NS
99,hsa-mir-185-5p,4,0,0.8620000000000001,2.4362699999999998e-11,0.0625,1.0,NS
100,hsa-mir-186-5p,0,0,0.388,9.08e-06,,,NS
101,hsa-mir-187-3p,8,3,1.31,4.355e-07,0.11328125,0.96728515625,NS
102,hsa-mir-18a-3p,9,1,1.496,1.3e-10,0.0107421875,0.9990234375,UP
103,hsa-mir-190a-5p,1,4,-0.667,2.85e-09,0.96875,0.1875,NS
104,hsa-mir-190b-5p,4,1,1.058,0.000116,0.1875,0.96875,NS
105,hsa-mir-191-3p,3,2,0.63,1.17e-10,0.5,0.8125,NS
106,hsa-mir-191-5p,4,1,0.8,3.5e-13,0.1875,0.96875,NS
107,hsa-mir-1911-5p,7,0,3.708,1.68e-06,0.0078125,1.0,UP
108,hsa-mir-192-3p,3,3,-0.483,0.000126,0.65625,0.65625,NS
109,hsa-mir-193a-5p,2,2,-0.492,6.726499999999999e-10,0.6875,0.6875,NS
110,hsa-mir-193b-3p,4,1,0.661,2.43e-07,0.1875,0.96875,NS
111,hsa-mir-193b-5p,3,1,0.475,3.5e-06,0.3125,0.9375,NS
112,hsa-mir-194-3p,3,3,0.1895,2.2528e-06,0.65625,0.65625,NS
113,hsa-mir-194-5p,5,1,0.85,7.7e-07,0.109375,0.984375,NS
114,hsa-mir-195-3p,1,8,-1.115,3.8e-10,0.998046875,0.01953125,DOWN
115,hsa-mir-195-5p,1,12,-1.486,7.579999999999999e-23,0.9998779296875,0.001708984375,DOWN
116,hsa-mir-196a-5p,12,1,3.247,5.9e-15,0.001708984375,0.9998779296875,UP
117,hsa-mir-196b-5p,8,0,1.803,3.32e-12,0.00390625,1.0,UP
118,hsa-mir-197-3p,0,1,0.375,0.000219,1.0,0.5,NS
119,hsa-mir-199a-3p,2,5,-0.5115000000000001,1.2925e-07,0.9375,0.2265625,NS
120,hsa-mir-199a-5p,2,5,-1.147,6.66405e-11,0.9375,0.2265625,NS
121,hsa-mir-199b-3p,2,5,-0.529,1.1504999999999999e-07,0.9375,0.2265625,NS
122,hsa-mir-199b-5p,3,7,-0.9075,3.4655e-07,0.9453125,0.171875,NS
123,hsa-mir-19a-3p,10,0,1.121,6.46e-15,0.0009765625,1.0,UP
124,hsa-mir-19b-3p,5,0,0.7395,1.935e-06,0.03125,1.0,UP
125,hsa-mir-200a-3p,5,1,1.186,4.8333799999999995e-17,0.109375,0.984375,NS
126,hsa-mir-200a-5p,7,1,1.289,4.97e-20,0.03515625,0.99609375,UP
127,hsa-mir-200b-5p,4,1,1.0245,3.9800001080000004e-26,0.1875,0.96875,NS
128,hsa-mir-200c-3p,7,2,1.19,2.43e-08,0.08984375,0.98046875,NS
129,hsa-mir-203a-3p,5,3,0.802,2.78e-10,0.36328125,0.85546875,NS
130,hsa-mir-204-5p,3,11,-1.659,8.9e-07,0.9935302734375,0.0286865234375,DOWN
131,hsa-mir-205-5p,9,4,2.049,4.69e-09,0.1334228515625,0.953857421875,NS
132,hsa-mir-206,1,7,-3.042,7.65e-07,0.99609375,0.03515625,DOWN
133,hsa-mir-20a-5p,6,0,0.886,2.26e-09,0.015625,1.0,UP
134,hsa-mir-20b-5p,6,3,1.0495,1.5950545000000002e-05,0.25390625,0.91015625,NS
135,hsa-mir-21-3p,9,1,1.244,4.2749e-12,0.0107421875,0.9990234375,UP
136,hsa-mir-210-3p,13,1,2.464,1.68e-30,0.00091552734375,0.99993896484375,UP
137,hsa-mir-211-5p,4,3,1.192,0.000533,0.5,0.7734375,NS
138,hsa-mir-212-3p,2,1,-0.06800000000000003,5.1285e-06,0.5,0.875,NS
139,hsa-mir-214-3p,1,7,-1.4415,2.3825e-09,0.99609375,0.03515625,DOWN
140,hsa-mir-214-5p,1,5,-0.6739999999999999,1.5073e-05,0.984375,0.109375,NS
141,hsa-mir-215-3p,0,0,0.795,1.79e-05,,,NS
142,hsa-mir-215-5p,6,3,0.557,1.62e-06,0.25390625,0.91015625,NS
143,hsa-mir-216a-3p,3,3,-0.489,0.00126,0.65625,0.65625,NS
144,hsa-mir-216a-5p,1,3,-0.868,4.705e-06,0.9375,0.3125,NS
145,hsa-mir-216b-5p,3,5,-1.2585000000000002,3.14675e-10,0.85546875,0.36328125,NS
146,hsa-mir-217-5p,4,5,-0.10550000000000004,1.7845000000000001e-10,0.74609375,0.5,NS
147,hsa-mir-218-5p,2,6,-0.97,5.300008450000001e-10,0.96484375,0.14453125,NS
148,hsa-mir-219a-2-3p,2,0,4.885,0.0001825,0.25,1.0,NS
149,hsa-mir-219a-5p,4,2,0.994,1.18e-06,0.34375,0.890625,NS
150,hsa-mir-22-3p,2,0,-0.2935,2.4964e-07,0.25,1.0,NS
151,hsa-mir-22-5p,2,1,0.472,4.73e-05,0.5,0.875,NS
152,hsa-mir-221-3p,4,2,0.6040000000000001,1.225755e-08,0.34375,0.890625,NS
153,hsa-mir-221-5p,4,3,0.473,7.964999999999999e-07,0.5,0.7734375,NS
154,hsa-mir-223-3p,4,3,-0.621,1.64e-09,0.5,0.7734375,NS
155,hsa-mir-223-5p,2,1,-0.552,0.0002075,0.5,0.875,NS
156,hsa-mir-224-5p,13,0,1.8245,1.585e-09,0.0001220703125,1.0,UP
157,hsa-mir-23a-3p,1,0,0.5760000000000001,3.4250001505e-08,0.5,1.0,NS
158,hsa-mir-23a-5p,1,3,-0.9085,1.66502865e-11,0.9375,0.3125,NS
