,p_value,fdr,description,source,fold_enrichment
189,1.15e-06,0.00044,Disease,Reactome,0.9825045645113475
190,1.44e-06,0.00047,Membrane Trafficking,Reactome,1.1650452740127393
191,1.48e-06,0.00047,Vesicle-mediated transport,Reactome,1.149826214126987
82,2.17e-06,0.00051,Negative regulation of metabolic process,GO: Biological Process,0.9084160620787267
192,2.51e-06,0.00064,Intracellular signaling by second messengers,Reactome,1.3619390131316054
83,2.88e-06,0.00066,Protein modification by small protein conjugation or removal,GO: Biological Process,1.0742256218320185
193,3.28e-06,0.00075,Adaptive Immune System,Reactome,1.1064856105036556
84,3.55e-06,0.00081,Protein localization to organelle,GO: Biological Process,1.1178692271527964
85,3.82e-06,0.00086,Phosphorylation,GO: Biological Process,1.0569831036695285
86,3.94e-06,0.00087,Regulation of cellular amide metabolic process,GO: Biological Process,1.1913007239863374
87,4.15e-06,0.0009,Regulation of cellular macromolecule biosynthetic process,GO: Biological Process,1.1791258635952944
88,4.35e-06,0.00093,Regulation of intracellular signal transduction,GO: Biological Process,0.9658246535765266
89,4.9e-06,0.001,Regulation of RNA biosynthetic process,GO: Biological Process,0.8872522434034521
90,5.4e-06,0.0011,"Regulation of transcription, DNA-templated",GO: Biological Process,0.8868053327050642
91,5.1e-06,0.0011,Establishment of localization,GO: Biological Process,0.8752770625510449
194,5.99e-06,0.0012,Signal Transduction,Reactome,0.9167753055815318
92,6.82e-06,0.0014,Response to organic substance,GO: Biological Process,0.9095192648058483
93,8.61e-06,0.0017,Organonitrogen compound catabolic process,GO: Biological Process,1.0203529614553362
94,1.03e-05,0.002,Regulation of translation,GO: Biological Process,1.199536745940748
95,1.11e-05,0.0021,Cell death,GO: Biological Process,1.0157896655633176
197,1.41e-05,0.0026,Post-translational protein modification,Reactome,0.9788512565553702
196,1.38e-05,0.0026,Negative regulation of the PI3K/AKT network,Reactome,1.751839252731671
195,1.48e-05,0.0026,PIP3 activates AKT signaling,Reactome,1.3513148648148834
96,1.39e-05,0.0027,Protein ubiquitination,GO: Biological Process,1.0999354962359067
97,1.49e-05,0.0028,Intracellular signal transduction,GO: Biological Process,0.9677572572558671
98,1.69e-05,0.0031,Regulation of protein metabolic process,GO: Biological Process,0.9039987070857809
99,1.87e-05,0.0034,Positive regulation of nitrogen compound metabolic process,GO: Biological Process,0.8852388497071618
100,2.07e-05,0.0038,Proteolysis,GO: Biological Process,0.990081606960007
101,2.49e-05,0.0044,Protein modification by small protein conjugation,GO: Biological Process,1.0696669009135629
102,2.46e-05,0.0044,Establishment of protein localization to organelle,GO: Biological Process,1.2595903126671633
103,2.62e-05,0.0045,Positive regulation of macromolecule metabolic process,GO: Biological Process,0.8729053782437609
104,2.55e-05,0.0045,Negative regulation of gene expression,GO: Biological Process,1.037247601574952
105,2.54e-05,0.0045,Regulation of signaling,GO: Biological Process,0.8772614443731801
200,3.93e-05,0.006,Signaling by ALK fusions and activated point mutants,Reactome,2.2188256422269075
201,4.92e-05,0.006,Class I MHC mediated antigen processing & presentation,Reactome,1.205370359294867
199,4.13e-05,0.006,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome,1.0751993822419061
198,4.02e-05,0.006,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",Reactome,1.7200904281414497
106,3.58e-05,0.0061,Cellular component organization or biogenesis,GO: Biological Process,0.835132597908577
