MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT000071,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,BIRC3,0,0,0,1,0,0,0,0,1,2,1,Tier D: Low
MIRT000073,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,GRM7,1,0,1,0,0,0,0,0,1,3,2,Tier C: Middle
MIRT000074,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,JAG1,1,1,1,1,0,0,0,1,1,6,4,Tier A: Strong
MIRT000695,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,MYC,1,1,1,1,1,0,0,1,1,7,9,Tier A: Strong
MIRT000720,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,MYB,1,1,1,0,0,0,0,0,1,4,3,Tier B: High
MIRT000748,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,HMGA2,0,0,0,1,0,0,0,0,1,2,2,Tier D: Low
MIRT000750,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,E2F5,0,0,0,1,0,0,0,1,1,3,2,Tier C: Middle
MIRT000751,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,CDC25C,0,0,0,1,0,0,0,0,1,2,1,Tier D: Low
MIRT000759,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,MET,1,1,1,0,0,0,0,1,1,5,15,Tier A: Strong
MIRT000763,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,CDK4,1,1,1,1,1,0,0,0,1,6,7,Tier B: High
MIRT000768,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,CCNE2,1,1,1,1,1,0,1,1,1,8,7,Tier A: Strong
MIRT000980,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,MYCN,1,1,1,0,0,0,0,0,1,4,9,Tier B: High
MIRT001010,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,CCND3,0,1,0,0,0,0,0,1,1,3,2,Tier B: High
MIRT001011,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,CDC25A,0,1,0,0,0,0,0,1,1,3,2,Tier B: High
MIRT001012,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,CDK6,1,1,1,1,1,0,1,0,1,7,11,Tier B: High
MIRT001013,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,CCND1,1,1,1,0,1,0,0,1,1,6,7,Tier A: Strong
MIRT001231,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,WNT1,1,0,1,1,0,0,0,0,1,4,2,Tier C: Middle
MIRT001232,Homo sapiens,Homo sapiens,hsa-miR-34a-5p,AXIN2,1,0,0,0,0,0,0,1,1,3,2,Tier B: High
