MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT005692,Homo sapiens,Homo sapiens,hsa-miR-522-3p,SOX2,1,1,0,0,0,0,0,0,0,2,1,Tier C: Middle
MIRT007232,Homo sapiens,Homo sapiens,hsa-miR-522-3p,FXN,1,0,0,0,0,0,0,0,0,1,1,Tier C: Middle
MIRT078137,Homo sapiens,Homo sapiens,hsa-miR-522-3p,AKAP1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT081452,Homo sapiens,Homo sapiens,hsa-miR-522-3p,SSBP4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT085346,Homo sapiens,Homo sapiens,hsa-miR-522-3p,DYRK1A,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT097441,Homo sapiens,Homo sapiens,hsa-miR-522-3p,JMY,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT109247,Homo sapiens,Homo sapiens,hsa-miR-522-3p,ZNF275,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT191639,Homo sapiens,Homo sapiens,hsa-miR-522-3p,SLC39A9,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT204732,Homo sapiens,Homo sapiens,hsa-miR-522-3p,BZW1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT213431,Homo sapiens,Homo sapiens,hsa-miR-522-3p,MOB1B,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT214154,Homo sapiens,Homo sapiens,hsa-miR-522-3p,PRRC1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT219253,Homo sapiens,Homo sapiens,hsa-miR-522-3p,RREB1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT219502,Homo sapiens,Homo sapiens,hsa-miR-522-3p,SLC35A1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT241381,Homo sapiens,Homo sapiens,hsa-miR-522-3p,QSER1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT253416,Homo sapiens,Homo sapiens,hsa-miR-522-3p,EVI5L,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT282579,Homo sapiens,Homo sapiens,hsa-miR-522-3p,IGF1R,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT282647,Homo sapiens,Homo sapiens,hsa-miR-522-3p,SYNM,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT311404,Homo sapiens,Homo sapiens,hsa-miR-522-3p,PHAX,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT317131,Homo sapiens,Homo sapiens,hsa-miR-522-3p,E2F3,0,0,0,0,1,0,1,0,0,3,2,Tier C: Middle
MIRT372676,Homo sapiens,Homo sapiens,hsa-miR-522-3p,SCML2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT409154,Homo sapiens,Homo sapiens,hsa-miR-522-3p,FZD1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT445362,Homo sapiens,Homo sapiens,hsa-miR-522-3p,NDNF,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT447484,Homo sapiens,Homo sapiens,hsa-miR-522-3p,NYAP2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT453859,Homo sapiens,Homo sapiens,hsa-miR-522-3p,ZNF12,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT454052,Homo sapiens,Homo sapiens,hsa-miR-522-3p,TMBIM4,0,0,0,0,1,0,1,0,0,4,2,Tier C: Middle
MIRT456025,Homo sapiens,Homo sapiens,hsa-miR-522-3p,PSMA7,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT456242,Homo sapiens,Homo sapiens,hsa-miR-522-3p,LHPP,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT456596,Homo sapiens,Homo sapiens,hsa-miR-522-3p,CHML,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT456839,Homo sapiens,Homo sapiens,hsa-miR-522-3p,MORF4L2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT456868,Homo sapiens,Homo sapiens,hsa-miR-522-3p,ZNF460,0,0,0,0,1,0,1,0,0,4,10,Tier C: Middle
MIRT458260,Homo sapiens,Homo sapiens,hsa-miR-522-3p,ZNF85,0,0,0,0,1,0,1,0,0,4,2,Tier C: Middle
MIRT464936,Homo sapiens,Homo sapiens,hsa-miR-522-3p,TXLNA,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT467299,Homo sapiens,Homo sapiens,hsa-miR-522-3p,SPNS1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
