MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT158631,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,TNRC6B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT345061,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,TUBG1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT445921,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,SHOC2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT454518,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,ZFYVE27,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT455848,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,C9orf78,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT462790,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,ZNF8,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT470376,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,PPP2R5E,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT471974,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,NR3C1,0,0,0,0,1,0,1,0,0,3,2,Tier C: Middle
MIRT476772,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,FOS,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT478363,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,DDI2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT490960,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,PPM1F,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT497143,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,TAPBP,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT498112,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,PLEKHO1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT502032,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,LRIG2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT504400,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,HMX2,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT508350,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,HES7,0,0,0,0,1,0,1,0,0,4,8,Tier C: Middle
MIRT512187,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,C1orf50,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT526397,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,CCDC14,0,0,0,0,1,0,1,0,0,3,2,Tier C: Middle
MIRT527644,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,ORC4,0,0,0,0,1,0,1,0,0,4,2,Tier C: Middle
MIRT528262,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,GPRIN2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT528466,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,TMEM164,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT531292,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,SLC7A7,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT534283,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,SLC12A7,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT535928,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,MIER1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT547401,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,MKX,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT550817,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,FAM229B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT562636,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,ARL6IP1,0,0,0,0,1,0,1,0,0,5,2,Tier C: Middle
MIRT564369,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,TRMT5,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT564822,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,ZBTB18,0,0,0,0,1,0,1,0,0,3,2,Tier C: Middle
MIRT566509,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,PAWR,0,0,0,0,1,0,1,0,0,3,2,Tier C: Middle
MIRT566966,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,LBR,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT567311,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,HMGN2,0,0,0,0,1,0,1,0,0,4,2,Tier C: Middle
MIRT571958,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,KLHL28,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT608119,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,GPRC5A,0,0,0,0,1,0,1,0,0,3,6,Tier C: Middle
MIRT609580,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,CATSPER4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT610099,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,ARL4C,0,0,0,0,1,0,1,0,0,3,2,Tier C: Middle
MIRT610447,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,FOXP4,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT621694,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,TSPYL1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT625075,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,C15orf41,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT639747,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,SLC1A1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT646365,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,PIGP,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT647372,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,CDCA2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT650464,Homo sapiens,Homo sapiens,hsa-miR-5586-5p,SLC35B1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
