MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT1266559,Homo sapiens,Homo sapiens,hsa-miR-421,PRR13,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1266981,Homo sapiens,Homo sapiens,hsa-miR-421,PRR23B,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1268763,Homo sapiens,Homo sapiens,hsa-miR-421,PRTG,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1269407,Homo sapiens,Homo sapiens,hsa-miR-421,PSD3,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1270411,Homo sapiens,Homo sapiens,hsa-miR-421,PSMD10,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1270987,Homo sapiens,Homo sapiens,hsa-miR-421,PSMF1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1271099,Homo sapiens,Homo sapiens,hsa-miR-421,PSPC1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1271519,Homo sapiens,Homo sapiens,hsa-miR-421,PTAR1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1272333,Homo sapiens,Homo sapiens,hsa-miR-421,PTEN,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1272614,Homo sapiens,Homo sapiens,hsa-miR-421,PTGER2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1272801,Homo sapiens,Homo sapiens,hsa-miR-421,PTGES3,0,0,0,0,0,0,1,0,0,2,1,Tier C: Middle
MIRT1272988,Homo sapiens,Homo sapiens,hsa-miR-421,PTGFRN,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1274471,Homo sapiens,Homo sapiens,hsa-miR-421,PTPN11,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1274978,Homo sapiens,Homo sapiens,hsa-miR-421,PTPN14,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1276758,Homo sapiens,Homo sapiens,hsa-miR-421,PTTG1IP,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1277037,Homo sapiens,Homo sapiens,hsa-miR-421,PUM2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1277306,Homo sapiens,Homo sapiens,hsa-miR-421,PURA,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1278628,Homo sapiens,Homo sapiens,hsa-miR-421,PVRL4,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1280962,Homo sapiens,Homo sapiens,hsa-miR-421,RAB11A,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1281801,Homo sapiens,Homo sapiens,hsa-miR-421,RAB14,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1282443,Homo sapiens,Homo sapiens,hsa-miR-421,RAB21,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1287630,Homo sapiens,Homo sapiens,hsa-miR-421,RAD21,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1290571,Homo sapiens,Homo sapiens,hsa-miR-421,RAPGEF1,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1293152,Homo sapiens,Homo sapiens,hsa-miR-421,RAVER1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1294072,Homo sapiens,Homo sapiens,hsa-miR-421,RBBP9,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1298614,Homo sapiens,Homo sapiens,hsa-miR-421,RCOR1,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1301567,Homo sapiens,Homo sapiens,hsa-miR-421,RFC3,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1301752,Homo sapiens,Homo sapiens,hsa-miR-421,RFFL,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1302423,Homo sapiens,Homo sapiens,hsa-miR-421,RFX4,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1302550,Homo sapiens,Homo sapiens,hsa-miR-421,RFX7,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1304723,Homo sapiens,Homo sapiens,hsa-miR-421,RHBDD1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1306336,Homo sapiens,Homo sapiens,hsa-miR-421,RHPN2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1307724,Homo sapiens,Homo sapiens,hsa-miR-421,RIT1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1307989,Homo sapiens,Homo sapiens,hsa-miR-421,RLIM,0,0,0,0,0,0,1,0,0,2,1,Tier C: Middle
MIRT1310193,Homo sapiens,Homo sapiens,hsa-miR-421,RNF139,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1313425,Homo sapiens,Homo sapiens,hsa-miR-421,RNF44,0,0,0,0,0,0,1,0,0,2,1,Tier C: Middle
MIRT1313848,Homo sapiens,Homo sapiens,hsa-miR-421,RNF8,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1314404,Homo sapiens,Homo sapiens,hsa-miR-421,RNPS1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1314664,Homo sapiens,Homo sapiens,hsa-miR-421,ROCK1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1315056,Homo sapiens,Homo sapiens,hsa-miR-421,ROD1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1316469,Homo sapiens,Homo sapiens,hsa-miR-421,RPL27A,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1317005,Homo sapiens,Homo sapiens,hsa-miR-421,RPL7A,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1318197,Homo sapiens,Homo sapiens,hsa-miR-421,RPS6KA3,0,0,0,0,0,0,1,1,1,3,2,Tier B: High
MIRT1318654,Homo sapiens,Homo sapiens,hsa-miR-421,RPS6KB1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1318872,Homo sapiens,Homo sapiens,hsa-miR-421,RPS6KC1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1319396,Homo sapiens,Homo sapiens,hsa-miR-421,RRAGD,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1320507,Homo sapiens,Homo sapiens,hsa-miR-421,RRP1B,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1321134,Homo sapiens,Homo sapiens,hsa-miR-421,RSBN1L,0,0,0,0,0,0,1,1,1,2,2,Tier B: High
MIRT1322867,Homo sapiens,Homo sapiens,hsa-miR-421,RUNX1T1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1322962,Homo sapiens,Homo sapiens,hsa-miR-421,RUNX2,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1325610,Homo sapiens,Homo sapiens,hsa-miR-421,SAMD8,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1325766,Homo sapiens,Homo sapiens,hsa-miR-421,SAP18,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1329654,Homo sapiens,Homo sapiens,hsa-miR-421,SCML4,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1332427,Homo sapiens,Homo sapiens,hsa-miR-421,SEC16A,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1334735,Homo sapiens,Homo sapiens,hsa-miR-421,SEMA3C,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1337325,Homo sapiens,Homo sapiens,hsa-miR-421,SEPT9,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
MIRT1338449,Homo sapiens,Homo sapiens,hsa-miR-421,SERP1,0,0,0,0,0,0,1,0,0,1,1,Tier C: Middle
