MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT036639,Homo sapiens,Homo sapiens,hsa-miR-935,PURB,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036640,Homo sapiens,Homo sapiens,hsa-miR-935,DHFR,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036641,Homo sapiens,Homo sapiens,hsa-miR-935,IKZF5,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036642,Homo sapiens,Homo sapiens,hsa-miR-935,ABCB7,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036643,Homo sapiens,Homo sapiens,hsa-miR-935,USP7,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036644,Homo sapiens,Homo sapiens,hsa-miR-935,SHB,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036645,Homo sapiens,Homo sapiens,hsa-miR-935,ZFP37,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036646,Homo sapiens,Homo sapiens,hsa-miR-935,ASB3,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036647,Homo sapiens,Homo sapiens,hsa-miR-935,DEDD,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036648,Homo sapiens,Homo sapiens,hsa-miR-935,NBEA,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036649,Homo sapiens,Homo sapiens,hsa-miR-935,USP24,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036650,Homo sapiens,Homo sapiens,hsa-miR-935,NOL10,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036651,Homo sapiens,Homo sapiens,hsa-miR-935,PTPRK,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036652,Homo sapiens,Homo sapiens,hsa-miR-935,KDM3B,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036653,Homo sapiens,Homo sapiens,hsa-miR-935,CKB,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036654,Homo sapiens,Homo sapiens,hsa-miR-935,TMEM205,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
MIRT036655,Homo sapiens,Homo sapiens,hsa-miR-935,TGOLN2,0,0,0,0,1,0,0,1,0,1,1,Tier C: Middle
