MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT152168,Homo sapiens,Homo sapiens,hsa-miR-204-3p,ZNF460,0,0,0,0,1,0,1,0,0,4,6,Tier C: Middle
MIRT270182,Homo sapiens,Homo sapiens,hsa-miR-204-3p,UNG,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT291532,Homo sapiens,Homo sapiens,hsa-miR-204-3p,LRRC8B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT301981,Homo sapiens,Homo sapiens,hsa-miR-204-3p,NUP50,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT334165,Homo sapiens,Homo sapiens,hsa-miR-204-3p,CCND1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT441989,Homo sapiens,Homo sapiens,hsa-miR-204-3p,TSTD2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT443195,Homo sapiens,Homo sapiens,hsa-miR-204-3p,PDHA1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT444842,Homo sapiens,Homo sapiens,hsa-miR-204-3p,PDE6D,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT445235,Homo sapiens,Homo sapiens,hsa-miR-204-3p,SRGAP2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT445457,Homo sapiens,Homo sapiens,hsa-miR-204-3p,EXT1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT446610,Homo sapiens,Homo sapiens,hsa-miR-204-3p,HIP1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT447111,Homo sapiens,Homo sapiens,hsa-miR-204-3p,CLPX,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT448836,Homo sapiens,Homo sapiens,hsa-miR-204-3p,FGD4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT451809,Homo sapiens,Homo sapiens,hsa-miR-204-3p,CDCA3,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT456230,Homo sapiens,Homo sapiens,hsa-miR-204-3p,LIX1L,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT462643,Homo sapiens,Homo sapiens,hsa-miR-204-3p,PHF5A,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT463586,Homo sapiens,Homo sapiens,hsa-miR-204-3p,ZBTB38,0,0,0,0,1,0,1,0,0,4,2,Tier C: Middle
MIRT466569,Homo sapiens,Homo sapiens,hsa-miR-204-3p,TBL1XR1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT471094,Homo sapiens,Homo sapiens,hsa-miR-204-3p,PIK3C2B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT475979,Homo sapiens,Homo sapiens,hsa-miR-204-3p,GTPBP2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT477056,Homo sapiens,Homo sapiens,hsa-miR-204-3p,FAM210A,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT477795,Homo sapiens,Homo sapiens,hsa-miR-204-3p,E2F2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT478502,Homo sapiens,Homo sapiens,hsa-miR-204-3p,CYP1B1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT479097,Homo sapiens,Homo sapiens,hsa-miR-204-3p,CNNM4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT479289,Homo sapiens,Homo sapiens,hsa-miR-204-3p,CHAC1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT480867,Homo sapiens,Homo sapiens,hsa-miR-204-3p,BHLHB9,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT481972,Homo sapiens,Homo sapiens,hsa-miR-204-3p,AMOTL2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT485358,Homo sapiens,Homo sapiens,hsa-miR-204-3p,MYO1C,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT487199,Homo sapiens,Homo sapiens,hsa-miR-204-3p,NFASC,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT489445,Homo sapiens,Homo sapiens,hsa-miR-204-3p,IFNLR1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT491278,Homo sapiens,Homo sapiens,hsa-miR-204-3p,DHX40,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT494761,Homo sapiens,Homo sapiens,hsa-miR-204-3p,AP3M2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT495164,Homo sapiens,Homo sapiens,hsa-miR-204-3p,CNGA2,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT495224,Homo sapiens,Homo sapiens,hsa-miR-204-3p,DSCR3,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT502067,Homo sapiens,Homo sapiens,hsa-miR-204-3p,KRAS,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT508479,Homo sapiens,Homo sapiens,hsa-miR-204-3p,FAM71F2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT509653,Homo sapiens,Homo sapiens,hsa-miR-204-3p,ZNF354B,0,0,0,0,1,0,1,0,0,3,10,Tier C: Middle
MIRT513848,Homo sapiens,Homo sapiens,hsa-miR-204-3p,KCTD15,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT515059,Homo sapiens,Homo sapiens,hsa-miR-204-3p,EBNA1BP2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT515797,Homo sapiens,Homo sapiens,hsa-miR-204-3p,COL4A3BP,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT522685,Homo sapiens,Homo sapiens,hsa-miR-204-3p,LUZP1,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT523269,Homo sapiens,Homo sapiens,hsa-miR-204-3p,HIST1H2AE,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT528456,Homo sapiens,Homo sapiens,hsa-miR-204-3p,NXT2,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT528731,Homo sapiens,Homo sapiens,hsa-miR-204-3p,FAM26E,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT544484,Homo sapiens,Homo sapiens,hsa-miR-204-3p,TRIM4,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT550627,Homo sapiens,Homo sapiens,hsa-miR-204-3p,KIF3B,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT569632,Homo sapiens,Homo sapiens,hsa-miR-204-3p,ZNF746,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT571458,Homo sapiens,Homo sapiens,hsa-miR-204-3p,YKT6,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT572934,Homo sapiens,Homo sapiens,hsa-miR-204-3p,VDAC2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT609621,Homo sapiens,Homo sapiens,hsa-miR-204-3p,TRPC4AP,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT617735,Homo sapiens,Homo sapiens,hsa-miR-204-3p,ATCAY,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT627592,Homo sapiens,Homo sapiens,hsa-miR-204-3p,SHROOM3,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT628518,Homo sapiens,Homo sapiens,hsa-miR-204-3p,ZNF878,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT632539,Homo sapiens,Homo sapiens,hsa-miR-204-3p,PSMB2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT633966,Homo sapiens,Homo sapiens,hsa-miR-204-3p,GRWD1,0,0,0,0,1,0,1,0,0,3,2,Tier C: Middle
MIRT634532,Homo sapiens,Homo sapiens,hsa-miR-204-3p,NEGR1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT635456,Homo sapiens,Homo sapiens,hsa-miR-204-3p,APOLD1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT636414,Homo sapiens,Homo sapiens,hsa-miR-204-3p,MTHFD2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT642669,Homo sapiens,Homo sapiens,hsa-miR-204-3p,RGS6,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT644082,Homo sapiens,Homo sapiens,hsa-miR-204-3p,A4GALT,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT647944,Homo sapiens,Homo sapiens,hsa-miR-204-3p,RNF152,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
