MTI ID,Species (miRNA),Species (Target),miRNA,Target Gene,Reporter Assay,Western Blot,qPCR,Microarray,NGS,pSILAC,CLIP-Seq,CLASH,Other,Sum,Papers,Score
MIRT505983,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RAB11FIP1,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT506284,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PDPK1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT506377,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NUFIP2,0,0,0,0,1,0,1,1,1,3,7,Tier B: High
MIRT506462,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NACC2,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT506544,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MORF4L1,0,0,0,0,1,0,1,1,1,3,9,Tier B: High
MIRT506625,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MARCH6,0,0,0,0,1,0,1,0,0,2,8,Tier C: Middle
MIRT506658,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,MAPK1,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT506683,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,LZIC,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT506847,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KIF23,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT506875,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KIAA1147,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT506890,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KIAA0101,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT506994,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HNRNPR,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT507199,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FZD9,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT507368,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FAM129A,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT507441,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ELK4,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT507950,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,BTF3L4,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT507962,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,BNIP2,0,0,0,0,1,0,1,1,1,3,7,Tier B: High
MIRT508092,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ANKRD52,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT508579,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CEP72,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT508748,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ZNF682,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT508840,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,GPR155,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT509133,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,BMP8B,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT509748,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,EFCAB11,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT510032,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CRISPLD2,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT510880,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RAN,0,0,0,0,1,0,1,0,0,2,8,Tier C: Middle
MIRT511089,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NIPA1,0,0,0,0,1,0,1,1,1,3,5,Tier B: High
MIRT511266,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KLHL36,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT511323,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,KIAA1551,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT511559,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,HMGB1,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT512325,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,ACTR2,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT513470,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,NARS,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT513704,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,RBM20,0,0,0,0,1,0,1,0,0,2,4,Tier C: Middle
MIRT513750,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,PKNOX1,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT513991,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CEP97,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT514104,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,EPS15L1,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT514140,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,SERF2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT514323,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,FXYD5,0,0,0,0,1,0,1,0,0,2,6,Tier C: Middle
MIRT515001,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,DNTTIP2,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT515208,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,CRCP,0,0,0,0,1,0,1,0,0,2,2,Tier C: Middle
MIRT515578,Homo sapiens,Homo sapiens,hsa-miR-106a-5p,TMEM134,0,0,0,0,1,0,1,1,1,3,3,Tier B: High
